Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,11238.83,8709.47
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,22071985906.2168,21553051296.9328
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37769499,38972230
Afghanistan,AFG,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,4993.3,4383.2
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,12967696347.088,12539492375.1873
Albania,ALB,"Population, total",SP.POP.TOTL,2854191,2837849
Albania,ALB,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,170582.4,161563
Algeria,DZA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,177355540257.925,168310407704.439
Algeria,DZA,"Population, total",SP.POP.TOTL,42705368,43451666
Algeria,DZA,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..
American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..
American Samoa,ASM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,628818320.610687,660670229.007634
American Samoa,ASM,"Population, total",SP.POP.TOTL,47321,46189
American Samoa,ASM,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..
Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,479.984,448.884399
Andorra,AND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3008967037.09274,2672445970.98414
Andorra,AND,"Population, total",SP.POP.TOTL,76343,77700
Andorra,AND,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,24382.9,19814.5
Angola,AGO,GDP (constant 2015 US$),NY.GDP.MKTP.KD,83139068488.845,78451509293.6061
Angola,AGO,"Population, total",SP.POP.TOTL,32353588,33428486
Angola,AGO,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,509,474.6
Antigua and Barbuda,ATG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1621256318.17727,1337501037.50621
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,92117,92664
Antigua and Barbuda,ATG,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,168162,154535.9
Argentina,ARG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,571450737224.442,514630046744.607
Argentina,ARG,"Population, total",SP.POP.TOTL,44938712,45376763
Argentina,ARG,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..
Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,6195.6,6746.6
